Grit|When you show grit, you are being super brave and trying your best even when things get really hard!|Emotions
Horrid|My friend's bad cold was really horrid!|Emotions
Awful|It's awful when it starts raining on our birthday party!|Emotions
Surprise|You got a surprise party waiting for you outside with all your favorite friends!|Fantasy
Tough|Being strong and trying new things makes you tough in a good way!|Emotions
Split|Your best friend split a pizza right down the middle so you could share it together.|Home
Check|When you check your toy box every morning, it's like starting a brand new day with so many cool surprises!|Home
Better|When you try your best, it makes me better!|Emotions
Corner|Your favorite corner in the playground is where your best friends play hide and seek with you!|Home
Pyramid|The big pyramid in Egypt was covered in sparkling gold sand that shone like a treasure!|Space
Would|Would you like a big hug from me?|Emotions
Shake|Shake your teddy bear tightly, then hug it tight with all your might!|Home
Pretend|When you pretend to fly with your favorite superhero, everyone gets to feel like they're flying too!|Fantasy
Believe|Believe in yourself, you can do anything that makes your heart happy!|Emotions
Swoop|The swooping eagle soared through the bright blue sky with its wings spread wide and felt so free!|Fantasy
Glide|You can glide down the big slide with a big smile on your happy face!|Home
Pyramid|The big pyramid in Egypt was covered in sparkling gold sand that shone like a treasure!|Space
Square|I drew a happy square with colorful crayons on my paper today!|Home
Noisy|The loud, noisy fireworks exploded in the night sky!|Action
Stalk|The little rabbit quietly stalked through the garden, looking for its missing carrot.|Nature
Plumes|The beautiful birds wore their softest plumes on special days!|Nature
Illustrate|You can illustrate your favorite story with colorful pictures that show what happened!|Colors
Shore|The little girl ran to the shore with her best friend to watch the beautiful sunset together.|Nature
Preetiest|Preetiest flowers are the ones that make you feel happy inside!|Emotions
Twinkle|The little fairy's wings will twinkle like tiny diamonds when she flies outside on a sunny day.|Fantasy
Star|"The little girl gazed up at the star twinkling in the sky and whispered ""I wish you were my best friend forever."""|Space
Wonder|You will feel so much wonder when you see a beautiful rainbow in the sky after a big rainstorm!|Nature
High|When you fly high in your favorite airplane, you can feel like a superhero!|Adventure
Stumble|I'm so proud of you for getting back up when you stumble!|Emotions
Gloomy|My sister felt gloomy when it started raining on our birthday party.|Emotions
Swamp|Little Timmy went on an adventure into the swamp with his best friend, a big goofy alligator named Ally.|Nature
Swirl|A little mermaid's curly hair swirled around her smiling face like a magical ocean crown.|Fantasy
Tiptoe|When you tiptoe through the garden at night, your footprints are like magic marks that only appear in the morning light.|Fantasy
Squelch|When you step in the muddy puddle, it makes a happy squelching sound under your boots!|Nature
Monster|The friendly monster is your next-door neighbor!|Fantasy
Gobble|The little turkey loved to gobble loudly on Thanksgiving morning!|Animals
Compare|When you compare your pet's fur with Mommy's hair, they both look super fluffy!|Emotions
Gloopy|Sarah made a gloopy paint picture that made her feel very happy and proud of herself!|Emotions
Cave|The little rabbit explored her new favorite cave where she found sparkly crystals and a cozy place to play with her friends.|Nature
Describe|You can describe your favorite animal with words that make you feel happy!|Emotions
Different|You are different, and that's what makes you super special!|Emotions
Way|You can find your way back home with a big hug from Mommy.|Home
Storyboard|Let's make our own magic story on the storyboard together!|Fantasy
Your|Your heart is full of love when you give a big hug to someone you care about.|Emotions
Imagine|Imagine you have a magical paintbrush that can make anything you draw come to life!|Fantasy
Length|Your arm is just the right length so you can give me a big hug!|Emotions
Remember|Remember when you drew your first picture all by yourself?|Emotions
Mistake|When we make a mistake, it's okay, because we can always try again and learn something new!|Emotions
Bubble|When you blow a bubble, it floats away in the air and makes me happy!|Fantasy
Speech|Your beautiful words are like music that fills the whole classroom with happiness!|Emotions
Complete|You are completely loved by your family!|Emotions
Beautiful|You are so beautiful inside and out!|Emotions
Made|My heart was made very happy when my mom surprised me with a new bike!|Emotions
Give|Please give your favorite stuffed animal a big hug!|Emotions
Early|You woke up early and saw snowflakes gently falling outside your window!|Nature
Flower|When you smell a beautiful flower, you might feel happy inside!|Nature
Finding|Finding your very own best friend is like finding a super special treasure in your heart!|Fantasy
How|How does it feel when you give your favorite stuffed animal a big hug?|Emotions
Interested|Are you interested in going on an adventure with your favorite pet?|Emotions
Reading|Reading is like going on a magical adventure with your favorite characters!|Fantasy
Chart|You drew an amazing chart of all your favorite ice cream flavors!|School
Group|A big group of friends went on an exciting adventure together yesterday!|Family
Content|When you're feeling content, it means you're happy with what's happening in your life!|Emotions
Correct|You are absolutely correct!|Emotions
Explore|Come let's go on an adventure and explore!|Adventure
Fact|It's a fact that you have an amazing smile!|Emotions
Title|You get to write your very own title on your new book!|School
Author|The author of your favorite book is you!|Emotions
Caption|You can put a happy caption on your favorite picture of your pet!|Fantasy
Prefer|My mom prefers ice cream with sprinkles on her special birthday!|Emotions
Text|You can send a secret message to your best friend by texting them a big hug on their phone!|Emotions
Diet|Eating healthy foods is like giving your body a big hug!|Emotions
Glossary|Your school's glossary is like a treasure chest of new words that will help you feel smart and special!|School
Hatch|The little chick will hatch from its egg in just a few days!|Nature
Dictionary|When I opened my favorite dictionary, all the wonderful words came alive!|Fantasy
Down|Your favorite teddy bear is sitting down on your lap with big happy eyes.|Fantasy
Fact|Did you know it's a fact that you are loved by your family and friends just because you exist!|Emotions
File|The little girl found a special file that made her favorite toy look brand new again!|School
About|About a million butterflies danced around me in the garden yesterday.|Nature
Grey|The little grey rabbit hugged her fluffy teddy bear very tightly because she missed him so much.|Fantasy
Report|The teacher handed out a special report on your favorite animal that you got to keep forever!|School
Colonoes|The friendly Coloneuses were having a big party in the sunshine and invited all their friends to play together.|Fantasy
Complete|You can do it and feel so proud when you complete a big puzzle!|Emotions
Knowledge|Knowledge is like a big hug that helps us understand and love ourselves and the world around us!|Emotions
Planning|We are making a super cool plan for our next adventure!|Adventure
Become|You can become anything you dream of being when you try your best!|Emotions
Diagram|You drew a super cool diagram of your favorite animal!|Animals
Heading|You're heading out on an adventure today with your best friend!|Action
Coin|Your shiny coin found its way into a piggy bank!|Action
Statistics|Your favorite ice cream shop gives out happy statistics every summer day!|Home
Easier|When you learn something new, it can feel like it's going to be hard at first, but then you do it one more time and it starts to get easier!|Emotions
Explain|When you explain what happened to your pet, they always listen very carefully!|Animals
Little|Little rabbit found its lost ball in the sunshine!|Nature
Should|You should give your mom a big hug because she loves you very much!|Family
Saw|I used my saw to make a big wooden birdhouse with Daddy!|Home
Pictograms|Let's draw pictograms together and make a happy picture of our favorite animal!|Art/Design
Movement|When you dance, your whole body starts to show movement!|Emotions
Cause|You can make a flower bloom by giving it water, which is called causing something wonderful!|Fantasy
Someone|Someone is coming to play with you today!|Family
Oneself|You are kind and brave when you take care of yourself.|Emotions
Sink|When we put our toys in the sink, they get all sparkly clean!|Home
Float|When you let go of your worries, you can float on happy thoughts like a feather in the air!|Fantasy
Ultra|You can ride your super cool ultra bike down the biggest hill in the park!|Action
Hazy|The sky outside was hazy because of all the bubbles that the kids blew in the morning!|Fantasy
Describe|When you draw a picture of your favorite animal, it helps describe how happy you feel inside!|Emotions
Sparkly|The sparkly unicorn in your dreams is sending you love and magic tonight!|Fantasy
Shoot|Shoot like you're playing your favorite video game, but this time it's real – you get to make all the shots with your new puppy!|Action
Smash|When you smash all those colorful blocks together, it makes a happy sound that makes everyone smile!|Action
Lightning|The little rabbit felt happy when it saw lightning in the sky with her friends on a magical adventure outside!|Fantasy
Electic|The little girl's eyes sparkled with excitement as she watched her favorite musician play an electric guitar on stage.|Action
Similar|You have similar smile lines on your face just like Grandma's!|Emotions
Stormy|The stormy weather outside made a perfect excuse for staying inside and reading a favorite story together.|Nature
Slippery|When you walked on the slippery ice, your little brother helped you up with big, warm hugs!|Emotions
Shoulders|When you hold someone close on your shoulders, it makes them feel super safe and loved!|Home
Adventures|You will have so many exciting adventures when you grow up!|Adventure
Sentences|You can create whole worlds with just one special kind of sentences!|Fantasy
Pretend|When you pretend to fly with your favorite superhero, everyone gets to feel like they're flying too!|Fantasy
Feather|You gently petted the soft feather on your sister's favorite stuffed animal.|Nature
Pattern|Look at the happy ladybug following its special pattern to find a beautiful sunny flower!|Nature
Sequence|The sequence of events makes me so happy when I get my birthday surprise!|Emotions
Change|Change is like wearing new clothes - sometimes it's scary, but you can always try on your favorite ones and feel happy again!|Emotions
Knew|I knew you could do it if I believed in you!|Emotions
Gusty|The windy gusty day made a perfect excuse for a thrilling treasure hunt outside with your best friends!|Adventure
Breezy|On a breezy day at the beach, the seagulls flew high and played with the little girl's curly hair.|Nature
Improve|You can improve your drawing by practicing every day!|Action
Could|You could draw a picture of your favorite animal!|Emotions
Morning|The sun is shining brightly in the morning sky!|Nature
Rhythm|When you tap your feet to the rhythm of the music, you can feel happy inside!|Music
Planet|You get to live on a big, wonderful planet called Earth!|Space
Measure|You measure the flowers in your garden to see how tall they are growing!|Nature
Towards|We're walking towards the park where we will see the happy monkeys playing together!|Family
Symbol|The flag is a special symbol of our country's bravery and freedom.|Emotions
Ocean|The big ocean waves are so exciting that I want to splash in them every single day!|Nature
Country|The little puppy ran all around the country with her new friends on a sunny adventure!|Home
Laugh|When you make someone laugh with your silly joke, it makes their face light up and they feel super happy!|Emotions
Worry|When you worry, remember that sometimes, a little bit of trouble can lead to something super cool!|Emotions
